Name,Number of Seasons,Number of Episodes
Marvels' Agents of S.H.I.E.L.D.,,
Marvel's Agent Carter,,
Marvels's Daredevil,3,39
Marvel - Jessica Jones,3,39
Marvel's Luke Cage,,
Marvel's Iron Fist,,
Marvel - The Defenders,,
Inhumans,,
Marvel's The Punisher,,
Marvel's Runaways,,
Clock and Dagger,,
Marvel Studios Legends,,
WandaVision,,
The Falcon and the Winter Soldier,,
Loki,,
What If...?,,
Hawkeye,,
Moon Knight,,
Ms. Marvel,,
She-Hulk: Attorney at Law,,
